"age" "alcohol" "BIS" "NEOc" "NEOo"
18 0 1.807692308 3.5 2.583333333
18 5 1.884615385 4.083333333 3.166666667
18 15 1.730769231 4.583333333 3.25
18 17 2.692307692 2.666666667 3.666666667
18 13 2.153846154 3.5 3.166666667
18 4 2.153846154 3.25 3.333333333
18 3 1.846153846 4.25 2.916666667
18 3 1.769230769 4.5 4
18 14 2.538461539 2.833333333 3.333333333
18 31 2.615384615 3.166666667 3.083333333
18 14 2.423076923 2.75 3.083333333
18 0 1.923076923 4.666666667 2.583333333
18 28 3.115384615 2.916666667 3.083333333
18 73 2.846153846 3.583333333 2.666666667
18 28 2.269230769 3.666666667 3.5
18 40 3.076923077 2.666666667 3.166666667
18 7 1.846153846 3.916666667 3.666666667
18 8 2.153846154 3.25 3.583333333
18 12 2.307692308 3.166666667 2.333333333
18 8 2.192307692 3.666666667 3
18 12 2.307692308 3.333333333 3.166666667
18 10 2.269230769 2.833333333 3.583333333
18 24 2.230769231 3.666666667 3.5
18 2 2.538461539 3.416666667 2.583333333
18 2 2.538461539 3.166666667 2.75
18 1 2.192307692 3.833333333 3.333333333
18 15 2.653846154 3.583333333 2.666666667
18 1 2.230769231 3 3.166666667
18 0 2 4.833333333 3.083333333
19 0 2.576923077 3.916666667 2.583333333
19 14 2.576923077 2.666666667 2.416666667
19 18 2.423076923 2.75 2.75
19 4 2.115384615 3.666666667 3.75
19 17 2.615384615 3.333333333 3.666666667
19 6 2 4 3.25
19 8 2.153846154 4 3.25
19 54 3.115384615 3.083333333 3.083333333
19 41 2.307692308 3.75 2.583333333
19 4 2.153846154 3.666666667 3.416666667
19 5 2 4 2.5
19 6 1.730769231 4.666666667 2.75
19 12 2.769230769 3.416666667 4.333333333
19 6 2.307692308 3.25 4
19 3 2.153846154 3.583333333 3.416666667
19 32 2.384615385 3.25 3.166666667
19 4 2 3.916666667 3.916666667
19 23 3.115384615 2.833333333 2.75
19 8 2.461538462 2.5 3.583333333
19 36 2.538461539 3.666666667 2.5
19 23 2.384615385 3.333333333 3.75
19 20 3 4.416666667 3
19 20 2.653846154 2.166666667 3.583333333
19 0 2.230769231 3.75 3.083333333
19 0 1.846153846 3.75 2.75
19 5 1.653846154 4.666666667 3.583333333
19 17 3.076923077 3.25 3.166666667
19 40 3.038461539 2.75 1.666666667
19 4 1.961538462 3.5 3.416666667
19 96 2.807692308 2 3.583333333
19 5 2.076923077 3.333333333 3.583333333
19 14 1.884615385 4.5 3.416666667
19 18 2.307692308 4.25 3.583333333
19 0 1.846153846 4.333333333 3.166666667
19 3 2.038461539 3.833333333 3.416666667
19 10 2.384615385 3 3.916666667
19 44 3.076923077 2.916666667 2.75
19 7 2.384615385 3.333333333 3.75
19 55 2.269230769 4.25 3.5
19 1 2.192307692 3.666666667 4.25
19 7 2 4.166666667 4.166666667
19 28 2.692307692 3.083333333 3.666666667
19 0 1.884615385 3.75 3.75
19 8 1.884615385 3.583333333 3.166666667
19 22 2.692307692 2.916666667 3
19 12 2.038461539 4.25 2.75
19 4 2.269230769 3.75 3.25
19 29 1.961538462 3.583333333 2.833333333
19 7 1.884615385 4.416666667 3.416666667
19 2 2.307692308 3.416666667 3.416666667
19 0 2.769230769 2.416666667 2.916666667
20 23 2.653846154 3.583333333 2.416666667
20 3 2.423076923 3.166666667 2.166666667
20 0 1.961538462 3.75 3.75
20 20 1.846153846 4.75 3.25
20 22 2.307692308 3.083333333 3.5
20 4 2.269230769 3.666666667 3.916666667
20 12 2.230769231 3.75 2.75
20 18 3.038461539 4.166666667 3.666666667
20 28 2.115384615 3.75 3.25
20 24 2.115384615 3.166666667 3.833333333
20 13 1.653846154 4.166666667 2.916666667
20 0 2 4.75 4.083333333
20 18 2.269230769 3.083333333 4
21 2 1.730769231 4.333333333 3.416666667
21 8 1.769230769 4.583333333 2.75
21 8 2.076923077 3.916666667 3.083333333
21 30 2.5 3.333333333 3.416666667
21 28 2.115384615 3.916666667 2.833333333
21 14 1.923076923 4.416666667 3.833333333
21 5 1.538461539 3.833333333 3.75
21 36 2.730769231 3.583333333 3
21 25 2.5 3.083333333 2.916666667
21 27 1.961538462 4.583333333 2.25
21 3 2.076923077 4.083333333 3.833333333
21 7 2.115384615 4.666666667 3.25
21 16 2.461538462 2.666666667 3.666666667
21 28 2.153846154 3.25 3.916666667
21 18 2.653846154 3.166666667 3.083333333
21 13 2.076923077 4.333333333 2.916666667
21 33 2.307692308 3 2.5
21 56 2.576923077 3.25 4.083333333
22 9 1.615384615 4.166666667 3.583333333
22 1 2.423076923 2.833333333 2.916666667
22 32 1.923076923 4.416666667 3.5
22 3 1.961538462 3.166666667 3.333333333
22 10 2.346153846 2.75 4.166666667
22 18 2.076923077 3.75 3.75
22 1 2 4 3.166666667
22 3 1.692307692 4.083333333 4.25
22 16 2.846153846 2.833333333 4
22 19 2.153846154 3.75 3.666666667
22 6 2.038461539 2.666666667 3.666666667
22 41 2.538461539 3.5 2.75
22 16 2.653846154 3.75 2.916666667
23 8 2.269230769 3.25 2.916666667
23 34 2 4.583333333 3.416666667
23 30 2.576923077 3 2.916666667
24 10 1.807692308 3.583333333 3.75
24 29 2.269230769 3.583333333 3.583333333
24 5 2 3.666666667 2.666666667
24 18 1.961538462 3.5 3.5
24 2 1.769230769 4.25 3.75
25 0 2 4.25 3.583333333
26 14 2.269230769 3.25 3.666666667
27 17 2.538461539 3.5 3.75
27 11 2.076923077 4 3.833333333
29 8 2.538461539 3.666666667 3.833333333
29 4 2.538461539 3.666666667 3.583333333
29 1 2.346153846 3.583333333 3.666666667
29 1 1.730769231 4.25 4.083333333
30 10 2.038461539 2.916666667 3.75
31 0 1.653846154 4.916666667 2.916666667
31 0 2.692307692 3.416666667 3
33 10 2.230769231 3.583333333 3
33 6 2.038461539 3.833333333 3.5
36 1 1.807692308 4.333333333 3.916666667
37 0 1.846153846 4.5 4.25
38 1 2.038461539 4.5 3.416666667
40 12 2.307692308 2.5 3.75
45 6 2.192307692 4.25 4.166666667
47 7 2.153846154 4.166666667 3.666666667
50 0 1.846153846 3.75 4
50 0 2.384615385 4.25 3.75
19 40 2.423076923 2.833333333 2.583333333
19 56 1.961538462 3.75 3.666666667
19 31 2.115384615 3.25 3.25
25 30 2.461538462 3.333333333 3.75
19 46 2.307692308 3.666666667 3.75
23 25 2.653846154 3.583333333 3.333333333
19 40 2.730769231 2.166666667 4.166666667
21 36 2.653846154 2.333333333 4.166666667
22 50 2.538461539 1.833333333 3.583333333
18 28 2.346153846 3.5 3.25
19 22 2.269230769 3.916666667 4.083333333
37 24 2.115384615 2.833333333 4.25
